tweets,likes,time,source,retweets,tweet_length,zitat
"Ist doch ganz einfach! 😉

#BMGamTegernsee @fab_otte https://t.co/qFHEaMAuih",75,2022-07-05 12:24:08+00:00,Twitter for iPhone,2,75,0
"✈📸

#BMGamTegernsee https://t.co/tLU4AQyXa5",169,2022-07-05 12:23:23+00:00,Twitter Web App,3,43,0
"🔄 Weiter geht’s 👊

#BMGamTegernsee #DieFohlen https://t.co/VwUNIa3mxl",143,2022-07-05 08:54:57+00:00,Twitter for iPhone,2,69,0
"„Hi“ „Morgen“ und „Hallooo“ 😁👋

#BMGamTegernsee https://t.co/jjQLyO0Vrf",340,2022-07-05 08:41:25+00:00,Twitter for iPhone,13,71,0
"ℹ️ Defensivspieler Luca Netz wurde positiv auf das Corona-Virus getestet. Der U21-Nationalspieler wurde umgehend im Mannschaftshotel isoliert und befindet sich in ärztlicher Betreuung.
#BMGamTegernsee https://t.co/rt9YYB8vAH",359,2022-07-05 08:18:13+00:00,Twitter Web App,7,224,0
"Du bist teamfähig, kommunikativ und möchtest dazu beitragen, dass der BORUSSIA-PARK zur ausverkauften Hütte wird? Dann komm' ins Team und werde Teil der #FohlenFamilie! 💚

➡️ https://t.co/PJ8rMDD6K1 https://t.co/KBBsXBRhZJ",55,2022-07-05 06:15:00+00:00,Twitter Web App,2,222,0
"ℹ Komm ins Team! Wir suchen einen Mitarbeiter (m/w/d) für unsere Administration, Pflege und Verwaltung des Ticketsystems. 

Bewirb dich jetzt und werde unser neues Bindeglied zu anderen Fachabteilungen und Vereinen. Alle Infos ➡ https://t.co/PJ8rMDD6K1",25,2022-07-05 06:02:55+00:00,Twitter Web App,2,252,0
"🎫ℹ Der freie Vorverkauf für den „CUP DER TRADITIONEN“ am Sonntag, 17. Juli, beim @MSVDuisburg läuft. 

Auch für das Testspiel am Mittwoch, 20. Juli (18:30 Uhr), in Velbert gegen @RKCWAALWIJK sind Karten erhältlich.

🛒 https://t.co/rLTsmz7x5h",48,2022-07-05 05:00:00+00:00,Twitter for Advertisers,3,241,0
"Voll konzentriert oder gelangweilt vom Gewicht? 😅

#BMGamTegernsee https://t.co/Z9EuWr2m1J",204,2022-07-04 18:04:47+00:00,Twitter for iPhone,2,90,0
"Trainingslager ist kein Spaß.. 🏋️🥵

#BMGamTegernsee https://t.co/n8iQ9rrjVD",246,2022-07-04 17:59:24+00:00,Twitter for iPhone,5,75,0
